customer_id,company_name,signup_date,country,industry,company_size,acquisition_channel,sales_region
C00001,Fusion Solutions,2024-04-12,Australia,Technology,Medium,Referral,APAC
C00002,Bright Works,2024-08-02,USA,Manufacturing,Medium,Partner,North America
C00003,Digital Networks,2024-12-09,Germany,Retail,Small,Organic Search,Europe
C00004,Digital Solutions,2024-01-22,USA,Technology,Medium,Paid Search,North America
C00005,Apex Software,2025-07-20,Other,Healthcare,Large,Referral,Other
C00006,Blue Technologies,2024-09-30,Other,Other,Large,Paid Search,Other
C00007,Prime Labs,2024-12-05,USA,Education,Medium,Sales,North America
C00008,Bright Technologies,2025-07-15,UK,Retail,Medium,Paid Social,Europe
C00009,Next Software,2025-07-09,Other,Marketing,Medium,Email Marketing,Other
C00010,Blue Analytics,2024-09-08,USA,Retail,Small,Paid Search,North America
C00011,Cloud Services,2024-08-04,USA,Finance,Small,Sales,North America
C00012,Cloud Analytics,2025-06-04,Australia,Technology,Small,Sales,APAC
C00013,Digital Software,2025-11-05,Australia,Education,Large,Referral,APAC
C00014,Next Works,2024-07-19,UK,Retail,Small,Paid Search,Europe
C00015,Prime Labs,2024-04-08,UK,Retail,Medium,Paid Search,Europe
C00016,Fusion Networks,2024-01-05,UK,Professional Services,Medium,Paid Social,Europe
C00017,Vertex Works,2025-04-05,USA,Marketing,Medium,Referral,North America
C00018,Summit Solutions,2025-02-10,UK,Finance,Small,Email Marketing,Europe
C00019,Digital Systems,2024-03-26,Singapore,Education,Small,Organic Search,APAC
C00020,Cloud Services,2024-11-26,USA,Technology,Small,Sales,North America
C00021,Next Services,2024-10-09,India,Manufacturing,Large,Organic Search,APAC
C00022,Bright Analytics,2024-11-13,USA,Technology,Small,Email Marketing,North America
C00023,Summit Technologies,2024-08-20,India,Technology,Small,Organic Search,APAC
C00024,Nova Group,2025-01-21,USA,Retail,Small,Referral,North America
C00025,Bright Software,2024-08-12,UK,Education,Medium,Paid Social,Europe
C00026,Vertex Technologies,2025-03-14,Australia,Retail,Medium,Paid Search,APAC
C00027,Core Group,2024-07-16,India,Manufacturing,Medium,Organic Search,APAC
C00028,Prime Solutions,2025-04-08,USA,Education,Medium,Organic Search,North America
C00029,Nova Analytics,2024-05-27,UK,Technology,Medium,Paid Search,Europe
C00030,Fusion Solutions,2025-10-02,Canada,Professional Services,Small,Paid Social,North America
C00031,Nova Labs,2024-09-19,UK,Manufacturing,Medium,Paid Social,Europe
C00032,Apex Solutions,2024-10-30,Other,Finance,Large,Organic Search,Other
C00033,Next Systems,2025-10-20,Canada,Marketing,Large,Partner,North America
C00034,Apex Solutions,2025-08-09,Other,Professional Services,Medium,Referral,Other
C00035,Apex Systems,2024-06-01,USA,Technology,Medium,Referral,North America
C00036,Next Software,2024-06-09,USA,Finance,Small,Paid Search,North America
C00037,Summit Group,2024-07-13,UK,Finance,Small,Paid Search,Europe
C00038,Nova Works,2025-10-31,Other,Healthcare,Large,Referral,Other
C00039,Prime Systems,2025-08-31,UK,Finance,Small,Partner,Europe
C00040,Blue Group,2025-06-30,Australia,Technology,Enterprise,Paid Social,APAC
C00041,Prime Labs,2024-04-08,Canada,Other,Small,Referral,North America
C00042,Nova Services,2024-04-25,USA,Healthcare,Large,Paid Search,North America
C00043,Bright Software,2025-07-19,Canada,Finance,Small,Referral,North America
C00044,Core Group,2025-09-30,India,Marketing,Medium,Referral,APAC
