customer_id,month,plan_id,active_flag,monthly_revenue,tenure_months,login_frequency,feature_adoption_rate,support_tickets,payment_failures,churn_flag
C00001,2024-04-01,P02,1,79.0,0,19,0.68,0,1,0
C00001,2024-05-01,P02,1,79.0,1,7,0.74,3,0,0
C00001,2024-06-01,P02,1,79.0,2,13,0.53,2,0,0
C00001,2024-07-01,P02,1,79.0,3,17,0.49,3,2,0
C00001,2024-08-01,P02,1,79.0,4,4,0.74,0,0,0
C00001,2024-09-01,P02,1,79.0,5,15,0.52,1,0,0
C00001,2024-10-01,P02,1,79.0,6,5,0.79,0,0,0
C00001,2024-11-01,P02,1,79.0,7,21,0.63,1,0,0
C00001,2024-12-01,P02,1,79.0,8,14,0.92,1,0,0
C00001,2025-01-01,P02,1,79.0,9,10,0.46,1,0,0
C00001,2025-02-01,P02,1,79.0,10,17,0.65,2,0,0
C00001,2025-03-01,P02,1,79.0,11,16,0.57,0,0,0
C00001,2025-04-01,P03,1,149.0,12,8,0.5,0,0,0
C00001,2025-05-01,P03,1,149.0,13,4,0.84,1,0,0
C00001,2025-06-01,P03,1,149.0,14,21,0.68,1,0,0
C00001,2025-07-01,P03,1,149.0,15,12,0.95,4,0,0
C00001,2025-08-01,P03,1,149.0,16,21,0.66,2,1,0
C00001,2025-09-01,P03,1,149.0,17,18,0.65,2,0,0
C00001,2025-10-01,P03,1,149.0,18,9,0.81,2,0,0
C00001,2025-11-01,P03,1,149.0,19,18,0.6,1,1,0
C00001,2025-12-01,P03,1,149.0,20,6,0.83,1,0,0
C00002,2024-08-01,P01,1,29.0,0,16,0.63,4,0,0
C00002,2024-09-01,P01,1,29.0,1,7,0.45,1,0,0
C00002,2024-10-01,P01,1,29.0,2,16,0.53,2,0,0
C00002,2024-11-01,P01,1,29.0,3,17,0.73,0,0,0
C00002,2024-12-01,P01,1,29.0,4,12,0.63,3,0,0
C00002,2025-01-01,P01,1,29.0,5,22,0.71,2,0,0
C00002,2025-02-01,P01,1,29.0,6,15,0.71,2,0,0
C00002,2025-03-01,P01,1,29.0,7,12,0.62,1,0,0
C00002,2025-04-01,P01,1,29.0,8,17,0.35,2,0,0
C00002,2025-05-01,P01,1,29.0,9,14,0.83,0,0,0
C00002,2025-06-01,P01,1,29.0,10,7,0.65,2,0,0
C00002,2025-07-01,P01,1,29.0,11,13,0.69,4,0,0
C00002,2025-08-01,P01,1,29.0,12,16,0.63,1,0,0
C00002,2025-09-01,P01,1,29.0,13,21,0.92,0,0,0
C00002,2025-10-01,P01,1,29.0,14,16,0.8,3,0,0
C00002,2025-11-01,P01,1,29.0,15,15,0.82,2,0,0
C00002,2025-12-01,P01,1,29.0,16,20,0.5,1,0,0
C00003,2024-12-01,P02,1,79.0,0,6,0.61,2,1,0
C00003,2025-01-01,P02,1,79.0,1,10,0.13,1,0,0
C00003,2025-02-01,P02,1,79.0,2,4,0.69,2,0,0
C00003,2025-03-01,P02,1,79.0,3,17,0.41,1,0,0
C00003,2025-04-01,P02,1,79.0,4,23,0.68,0,0,0
C00003,2025-05-01,P02,1,79.0,5,11,0.65,2,0,0
C00003,2025-06-01,P02,1,79.0,6,15,0.57,1,0,0
C00003,2025-07-01,P02,1,79.0,7,21,0.52,0,0,0
C00003,2025-08-01,P02,1,79.0,8,20,0.34,0,0,0
C00003,2025-09-01,P03,1,149.0,9,10,0.73,1,0,0
C00003,2025-10-01,P03,1,149.0,10,14,0.81,2,3,0
C00003,2025-11-01,P03,1,149.0,11,13,0.76,0,0,0
C00003,2025-12-01,P04,1,399.0,12,24,0.79,3,0,0
C00004,2024-01-01,P04,1,399.0,0,12,0.7,2,0,0
C00004,2024-02-01,P04,1,399.0,1,7,0.55,0,0,0
C00004,2024-03-01,P04,1,399.0,2,10,0.66,1,0,0
C00004,2024-04-01,P04,1,399.0,3,9,0.68,0,0,0
C00004,2024-05-01,P04,1,399.0,4,7,0.83,1,0,0
C00004,2024-06-01,P04,1,399.0,5,14,0.33,2,0,0
C00004,2024-07-01,P04,1,399.0,6,20,0.42,3,2,0
C00004,2024-08-01,P04,1,399.0,7,19,0.65,7,0,0
C00004,2024-09-01,P04,1,399.0,8,20,0.98,1,0,0
C00004,2024-10-01,P04,1,399.0,9,9,0.55,1,0,0
C00004,2024-11-01,P04,1,399.0,10,20,0.44,0,0,0
C00004,2024-12-01,P04,1,399.0,11,12,0.57,0,2,0
C00004,2025-01-01,P04,1,399.0,12,15,0.63,1,0,0
C00004,2025-02-01,P04,1,399.0,13,14,0.72,2,0,0
C00004,2025-03-01,P04,1,399.0,14,10,0.37,2,0,0
C00004,2025-04-01,P04,1,399.0,15,12,0.62,1,0,0
C00004,2025-05-01,P04,1,399.0,16,15,0.8,1,0,0
C00004,2025-06-01,P04,1,399.0,17,11,0.74,0,0,0
C00004,2025-07-01,P04,1,399.0,18,19,0.58,1,0,0
C00004,2025-08-01,P04,1,399.0,19,11,0.52,1,0,0
C00004,2025-09-01,P04,1,399.0,20,16,0.58,2,1,0
C00004,2025-10-01,P04,1,399.0,21,20,0.65,3,0,0
C00004,2025-11-01,P04,1,399.0,22,16,0.59,1,3,0
C00004,2025-12-01,P04,1,399.0,23,12,0.73,0,0,0
C00005,2025-07-01,P02,1,79.0,0,11,0.32,1,0,0
C00005,2025-08-01,P02,1,79.0,1,21,0.38,1,0,0
C00005,2025-09-01,P02,1,79.0,2,14,0.68,2,2,0
C00005,2025-10-01,P02,1,79.0,3,9,0.5,4,0,0
C00005,2025-11-01,P02,1,79.0,4,11,0.55,7,0,0
C00005,2025-12-01,P02,1,79.0,5,14,0.5,2,0,0
C00006,2024-09-01,P02,1,79.0,0,17,0.55,0,0,0
C00006,2024-10-01,P02,1,79.0,1,9,0.46,1,0,0
C00006,2024-11-01,P02,1,79.0,2,11,0.47,1,3,0
C00006,2024-12-01,P02,1,79.0,3,12,0.69,0,0,0
C00006,2025-01-01,P02,1,79.0,4,16,0.56,1,1,0
C00006,2025-02-01,P02,1,79.0,5,11,0.4,1,0,0
C00006,2025-03-01,P02,1,79.0,6,9,0.68,1,1,0
C00006,2025-04-01,P02,1,79.0,7,9,0.79,0,0,0
C00006,2025-05-01,P02,1,79.0,8,15,0.4,2,0,0
C00006,2025-06-01,P02,1,79.0,9,17,0.89,1,1,0
C00006,2025-07-01,P02,1,79.0,10,7,0.55,0,0,0
C00006,2025-08-01,P02,1,79.0,11,12,0.73,1,0,0
C00006,2025-09-01,P02,1,79.0,12,14,0.39,2,1,0
C00006,2025-10-01,P02,1,79.0,13,16,0.38,1,3,0
C00006,2025-11-01,P02,1,79.0,14,16,1.0,3,2,0
C00006,2025-12-01,P02,1,79.0,15,11,0.46,2,0,0
C00007,2024-12-01,P02,1,79.0,0,8,0.39,1,0,0
C00007,2025-01-01,P02,1,79.0,1,4,0.61,0,0,0
C00007,2025-02-01,P02,1,79.0,2,12,0.64,3,0,0
C00007,2025-03-01,P02,1,79.0,3,10,0.56,2,0,0
C00007,2025-04-01,P02,1,79.0,4,13,0.72,4,0,0
C00007,2025-05-01,P01,1,29.0,5,16,0.56,3,0,0
C00007,2025-06-01,P01,1,29.0,6,0,0.88,2,0,0
C00007,2025-07-01,P01,1,29.0,7,17,0.7,0,0,0
C00007,2025-08-01,P01,1,29.0,8,27,0.63,2,0,0
C00007,2025-09-01,P01,1,29.0,9,8,0.6,0,0,0
C00007,2025-10-01,P01,1,29.0,10,17,0.63,1,0,0
C00007,2025-11-01,P01,1,29.0,11,11,0.84,3,0,0
C00007,2025-12-01,P01,1,29.0,12,19,0.41,2,0,0
C00008,2025-07-01,P02,1,79.0,0,19,0.6,1,0,0
C00008,2025-08-01,P02,1,79.0,1,21,0.75,4,0,0
C00008,2025-09-01,P02,1,79.0,2,10,0.8,4,0,0
C00008,2025-10-01,P02,0,79.0,3,0,0.0,0,0,1
C00008,2025-11-01,,0,0.0,4,0,0.0,0,0,0
C00008,2025-12-01,,0,0.0,5,0,0.0,0,0,0
C00009,2025-07-01,P01,1,29.0,0,4,0.67,1,0,0
C00009,2025-08-01,P01,1,29.0,1,16,0.59,1,0,0
C00009,2025-09-01,P01,1,29.0,2,13,0.49,1,2,0
C00009,2025-10-01,P01,1,29.0,3,6,0.53,1,0,0
C00009,2025-11-01,P01,1,29.0,4,19,0.46,1,0,0
C00009,2025-12-01,P01,1,29.0,5,14,0.52,0,0,0
C00010,2024-09-01,P02,1,79.0,0,7,0.45,1,0,0
C00010,2024-10-01,P02,1,79.0,1,14,0.5,5,0,0
C00010,2024-11-01,P02,1,79.0,2,7,0.57,3,0,0
C00010,2024-12-01,P02,1,79.0,3,14,0.33,2,0,0
C00010,2025-01-01,P02,1,79.0,4,19,0.66,0,0,0
C00010,2025-02-01,P02,1,79.0,5,11,0.55,1,0,0
C00010,2025-03-01,P02,1,79.0,6,12,0.41,0,0,0
C00010,2025-04-01,P02,1,79.0,7,15,0.62,1,0,0
C00010,2025-05-01,P02,1,79.0,8,18,0.69,2,0,0
C00010,2025-06-01,P02,1,79.0,9,17,0.66,0,0,0
C00010,2025-07-01,P02,1,79.0,10,20,0.61,3,1,0
C00010,2025-08-01,P02,0,79.0,11,0,0.0,0,0,1
C00010,2025-09-01,,0,0.0,12,0,0.0,0,0,0
C00010,2025-10-01,,0,0.0,13,0,0.0,0,0,0
C00010,2025-11-01,,0,0.0,14,0,0.0,0,0,0
C00010,2025-12-01,,0,0.0,15,0,0.0,0,0,0
C00011,2024-08-01,P01,1,29.0,0,7,0.33,1,0,0
C00011,2024-09-01,P01,1,29.0,1,13,0.47,1,0,0
C00011,2024-10-01,P01,1,29.0,2,13,0.42,1,0,0
C00011,2024-11-01,P01,1,29.0,3,9,0.67,1,1,0
C00011,2024-12-01,P01,1,29.0,4,13,0.64,6,0,0
C00011,2025-01-01,P01,1,29.0,5,17,0.96,1,0,0
C00011,2025-02-01,P01,1,29.0,6,23,0.49,4,0,0
C00011,2025-03-01,P01,1,29.0,7,16,0.55,1,0,0
C00011,2025-04-01,P01,1,29.0,8,14,0.52,2,0,0
C00011,2025-05-01,P01,1,29.0,9,14,0.51,0,1,0
C00011,2025-06-01,P01,1,29.0,10,12,0.42,0,0,0
C00011,2025-07-01,P01,1,29.0,11,19,0.57,0,0,0
C00011,2025-08-01,P01,1,29.0,12,18,0.93,0,0,0
C00011,2025-09-01,P01,1,29.0,13,6,0.75,1,0,0
C00011,2025-10-01,P01,1,29.0,14,13,0.78,1,0,0
C00011,2025-11-01,P01,1,29.0,15,8,0.7,0,0,0
C00011,2025-12-01,P01,1,29.0,16,15,0.63,1,0,0
C00012,2025-06-01,P02,1,79.0,0,7,0.65,1,1,0
C00012,2025-07-01,P02,1,79.0,1,1,0.8,1,1,0
C00012,2025-08-01,P02,1,79.0,2,9,0.65,2,0,0
C00012,2025-09-01,P02,1,79.0,3,11,0.19,2,0,0
C00012,2025-10-01,P02,1,79.0,4,6,0.41,0,2,0
C00012,2025-11-01,P02,0,79.0,5,0,0.0,0,0,1
C00012,2025-12-01,,0,0.0,6,0,0.0,0,0,0
C00013,2025-11-01,P03,1,149.0,0,17,0.72,0,0,0
C00013,2025-12-01,P03,1,149.0,1,10,0.91,5,2,0
C00014,2024-07-01,P04,1,399.0,0,10,0.55,1,0,0
C00014,2024-08-01,P04,1,399.0,1,20,0.72,3,0,0
C00014,2024-09-01,P04,1,399.0,2,8,0.62,0,0,0
C00014,2024-10-01,P04,1,399.0,3,9,0.59,1,0,0
C00014,2024-11-01,P04,1,399.0,4,15,0.52,1,0,0
C00014,2024-12-01,P04,1,399.0,5,16,0.59,0,0,0
C00014,2025-01-01,P04,1,399.0,6,14,0.68,2,0,0
C00014,2025-02-01,P04,1,399.0,7,11,0.81,2,0,0
C00014,2025-03-01,P04,1,399.0,8,7,0.89,0,0,0
C00014,2025-04-01,P04,1,399.0,9,16,0.74,3,0,0
C00014,2025-05-01,P04,1,399.0,10,10,0.79,0,0,0
C00014,2025-06-01,P04,1,399.0,11,20,0.64,2,0,0
C00014,2025-07-01,P04,1,399.0,12,13,0.36,2,0,0
C00014,2025-08-01,P04,1,399.0,13,17,0.58,0,0,0
C00014,2025-09-01,P04,1,399.0,14,15,0.63,0,0,0
C00014,2025-10-01,P04,1,399.0,15,19,0.62,0,0,0
C00014,2025-11-01,P04,1,399.0,16,15,0.59,2,0,0
C00014,2025-12-01,P04,1,399.0,17,20,0.72,2,0,0
C00015,2024-04-01,P01,1,29.0,0,12,0.41,0,0,0
C00015,2024-05-01,P01,1,29.0,1,12,0.64,1,0,0
C00015,2024-06-01,P01,1,29.0,2,10,0.69,1,0,0
C00015,2024-07-01,P01,1,29.0,3,14,0.68,0,0,0
C00015,2024-08-01,P01,1,29.0,4,11,0.7,4,0,0
C00015,2024-09-01,P01,0,29.0,5,0,0.0,0,0,1
C00015,2024-10-01,,0,0.0,6,0,0.0,0,0,0
C00015,2024-11-01,,0,0.0,7,0,0.0,0,0,0
C00015,2024-12-01,,0,0.0,8,0,0.0,0,0,0
C00015,2025-01-01,,0,0.0,9,0,0.0,0,0,0
C00015,2025-02-01,,0,0.0,10,0,0.0,0,0,0
C00015,2025-03-01,,0,0.0,11,0,0.0,0,0,0
C00015,2025-04-01,,0,0.0,12,0,0.0,0,0,0
C00015,2025-05-01,,0,0.0,13,0,0.0,0,0,0
C00015,2025-06-01,,0,0.0,14,0,0.0,0,0,0
C00015,2025-07-01,,0,0.0,15,0,0.0,0,0,0
C00015,2025-08-01,,0,0.0,16,0,0.0,0,0,0
C00015,2025-09-01,,0,0.0,17,0,0.0,0,0,0
C00015,2025-10-01,,0,0.0,18,0,0.0,0,0,0
C00015,2025-11-01,,0,0.0,19,0,0.0,0,0,0
C00015,2025-12-01,,0,0.0,20,0,0.0,0,0,0
C00016,2024-01-01,P01,1,29.0,0,15,0.89,5,0,0
C00016,2024-02-01,P01,1,29.0,1,4,0.57,2,0,0
C00016,2024-03-01,P01,1,29.0,2,10,0.43,1,0,0
C00016,2024-04-01,P01,0,29.0,3,0,0.0,0,0,1
C00016,2024-05-01,,0,0.0,4,0,0.0,0,0,0
C00016,2024-06-01,,0,0.0,5,0,0.0,0,0,0
C00016,2024-07-01,,0,0.0,6,0,0.0,0,0,0
C00016,2024-08-01,,0,0.0,7,0,0.0,0,0,0
C00016,2024-09-01,,0,0.0,8,0,0.0,0,0,0
C00016,2024-10-01,,0,0.0,9,0,0.0,0,0,0
C00016,2024-11-01,,0,0.0,10,0,0.0,0,0,0
C00016,2024-12-01,,0,0.0,11,0,0.0,0,0,0
C00016,2025-01-01,,0,0.0,12,0,0.0,0,0,0
C00016,2025-02-01,,0,0.0,13,0,0.0,0,0,0
C00016,2025-03-01,,0,0.0,14,0,0.0,0,0,0
C00016,2025-04-01,,0,0.0,15,0,0.0,0,0,0
C00016,2025-05-01,,0,0.0,16,0,0.0,0,0,0
C00016,2025-06-01,,0,0.0,17,0,0.0,0,0,0
C00016,2025-07-01,,0,0.0,18,0,0.0,0,0,0
C00016,2025-08-01,,0,0.0,19,0,0.0,0,0,0
C00016,2025-09-01,,0,0.0,20,0,0.0,0,0,0
C00016,2025-10-01,,0,0.0,21,0,0.0,0,0,0
C00016,2025-11-01,,0,0.0,22,0,0.0,0,0,0
C00016,2025-12-01,,0,0.0,23,0,0.0,0,0,0
C00017,2025-04-01,P03,1,149.0,0,0,0.73,2,0,0
C00017,2025-05-01,P03,1,149.0,1,3,0.62,0,0,0
C00017,2025-06-01,P03,1,149.0,2,5,0.59,2,0,0
C00017,2025-07-01,P03,1,149.0,3,8,0.55,1,0,0
C00017,2025-08-01,P03,1,149.0,4,16,0.45,0,0,0
C00017,2025-09-01,P03,1,149.0,5,18,0.82,2,0,0
C00017,2025-10-01,P03,1,149.0,6,11,0.57,0,0,0
C00017,2025-11-01,P03,1,149.0,7,11,0.5,3,0,0
C00017,2025-12-01,P02,1,79.0,8,14,0.44,1,0,0
C00018,2025-02-01,P02,1,79.0,0,5,0.51,0,1,0
C00018,2025-03-01,P02,1,79.0,1,14,0.49,3,3,0
C00018,2025-04-01,P02,1,79.0,2,18,0.51,3,0,0
C00018,2025-05-01,P02,1,79.0,3,4,0.45,0,0,0
C00018,2025-06-01,P02,1,79.0,4,13,0.67,0,0,0
C00018,2025-07-01,P02,1,79.0,5,17,0.69,1,1,0
C00018,2025-08-01,P02,1,79.0,6,23,0.61,1,0,0
C00018,2025-09-01,P02,1,79.0,7,14,0.61,1,0,0
C00018,2025-10-01,P02,1,79.0,8,14,0.79,2,0,0
C00018,2025-11-01,P02,1,79.0,9,6,0.58,0,0,0
C00018,2025-12-01,P02,1,79.0,10,17,0.45,4,0,0
C00019,2024-03-01,P03,1,149.0,0,8,0.61,2,0,0
C00019,2024-04-01,P03,1,149.0,1,9,0.66,0,0,0
C00019,2024-05-01,P03,1,149.0,2,19,0.26,2,0,0
C00019,2024-06-01,P03,1,149.0,3,23,0.58,2,0,0
C00019,2024-07-01,P03,1,149.0,4,16,0.64,0,0,0
C00019,2024-08-01,P03,1,149.0,5,6,0.68,4,0,0
C00019,2024-09-01,P03,1,149.0,6,18,0.57,0,0,0
C00019,2024-10-01,P03,1,149.0,7,20,0.73,2,0,0
C00019,2024-11-01,P03,1,149.0,8,10,0.74,3,0,0
C00019,2024-12-01,P03,1,149.0,9,13,0.7,1,0,0
C00019,2025-01-01,P03,1,149.0,10,13,0.86,1,0,0
C00019,2025-02-01,P03,1,149.0,11,12,0.85,1,0,0
C00019,2025-03-01,P03,1,149.0,12,11,0.75,1,0,0
C00019,2025-04-01,P03,1,149.0,13,16,0.46,1,0,0
C00019,2025-05-01,P03,1,149.0,14,19,0.76,1,0,0
C00019,2025-06-01,P03,1,149.0,15,22,0.48,1,0,0
C00019,2025-07-01,P03,1,149.0,16,22,0.79,2,0,0
C00019,2025-08-01,P03,1,149.0,17,17,0.86,1,1,0
C00019,2025-09-01,P03,1,149.0,18,10,0.8,3,0,0
C00019,2025-10-01,P03,1,149.0,19,20,0.84,0,0,0
C00019,2025-11-01,P03,1,149.0,20,27,0.66,1,0,0
C00019,2025-12-01,P03,1,149.0,21,10,0.76,1,0,0
C00020,2024-11-01,P01,1,29.0,0,13,0.49,1,0,0
C00020,2024-12-01,P01,1,29.0,1,10,0.68,1,2,0
C00020,2025-01-01,P01,1,29.0,2,19,0.62,0,0,0
C00020,2025-02-01,P01,1,29.0,3,13,0.72,3,1,0
C00020,2025-03-01,P01,1,29.0,4,17,0.62,0,1,0
C00020,2025-04-01,P01,1,29.0,5,0,0.52,3,0,0
C00020,2025-05-01,P01,1,29.0,6,14,0.61,1,0,0
C00020,2025-06-01,P01,1,29.0,7,15,0.6,1,0,0
C00020,2025-07-01,P01,1,29.0,8,25,0.42,0,0,0
C00020,2025-08-01,P01,1,29.0,9,12,0.44,2,1,0
C00020,2025-09-01,P01,1,29.0,10,17,0.39,1,0,0
C00020,2025-10-01,P01,0,29.0,11,0,0.0,0,0,1
C00020,2025-11-01,,0,0.0,12,0,0.0,0,0,0
C00020,2025-12-01,,0,0.0,13,0,0.0,0,0,0
C00021,2024-10-01,P02,1,79.0,0,16,0.68,3,0,0
C00021,2024-11-01,P02,1,79.0,1,12,0.21,2,0,0
C00021,2024-12-01,P02,1,79.0,2,9,0.75,1,0,0
C00021,2025-01-01,P02,1,79.0,3,9,0.22,1,0,0
C00021,2025-02-01,P02,1,79.0,4,15,0.76,2,0,0
C00021,2025-03-01,P02,1,79.0,5,12,0.29,1,0,0
C00021,2025-04-01,P02,1,79.0,6,10,0.55,2,0,0
C00021,2025-05-01,P02,1,79.0,7,27,0.62,4,0,0
C00021,2025-06-01,P02,1,79.0,8,14,0.71,4,0,0
C00021,2025-07-01,P02,1,79.0,9,9,0.5,0,0,0
