payment_id,customer_id,payment_date,amount,payment_status,payment_method
PAY0000001,C00001,2024-04-23,79.0,Successful,Debit Card
PAY0000002,C00001,2024-05-08,79.0,Successful,Credit Card
PAY0000003,C00001,2024-06-23,0.0,Failed,Credit Card
PAY0000004,C00001,2024-07-15,79.0,Successful,Bank Transfer
PAY0000005,C00001,2024-08-19,79.0,Successful,Credit Card
PAY0000006,C00001,2024-09-04,79.0,Successful,Debit Card
PAY0000007,C00001,2024-10-17,79.0,Successful,Bank Transfer
PAY0000008,C00001,2024-11-22,79.0,Successful,Credit Card
PAY0000009,C00001,2024-12-08,-79.0,Refunded,Credit Card
PAY0000010,C00001,2025-01-24,79.0,Successful,Debit Card
PAY0000011,C00001,2025-02-02,79.0,Successful,Credit Card
PAY0000012,C00001,2025-03-22,-79.0,Refunded,PayPal
PAY0000013,C00001,2025-04-19,149.0,Successful,Bank Transfer
PAY0000014,C00001,2025-05-11,149.0,Successful,Credit Card
PAY0000015,C00001,2025-06-21,149.0,Successful,Credit Card
PAY0000016,C00001,2025-07-12,149.0,Successful,Credit Card
PAY0000017,C00001,2025-08-10,149.0,Successful,Credit Card
PAY0000018,C00001,2025-09-19,149.0,Successful,Credit Card
PAY0000019,C00001,2025-10-05,149.0,Successful,Bank Transfer
PAY0000020,C00001,2025-11-23,149.0,Successful,Debit Card
PAY0000021,C00001,2025-12-25,149.0,Successful,Bank Transfer
PAY0000022,C00002,2024-08-15,29.0,Successful,Credit Card
PAY0000023,C00002,2024-09-21,29.0,Successful,Credit Card
PAY0000024,C00002,2024-10-24,29.0,Successful,Credit Card
PAY0000025,C00002,2024-11-21,29.0,Successful,Credit Card
PAY0000026,C00002,2024-12-23,29.0,Successful,Credit Card
PAY0000027,C00002,2025-01-17,29.0,Successful,Credit Card
PAY0000028,C00002,2025-02-02,29.0,Successful,Debit Card
PAY0000029,C00002,2025-03-24,29.0,Successful,Credit Card
PAY0000030,C00002,2025-04-07,29.0,Successful,Bank Transfer
PAY0000031,C00002,2025-05-13,29.0,Successful,Bank Transfer
PAY0000032,C00002,2025-06-25,29.0,Successful,Bank Transfer
PAY0000033,C00002,2025-07-07,29.0,Successful,Bank Transfer
PAY0000034,C00002,2025-08-13,29.0,Successful,Credit Card
PAY0000035,C00002,2025-09-22,29.0,Successful,Credit Card
PAY0000036,C00002,2025-10-12,29.0,Successful,Bank Transfer
PAY0000037,C00002,2025-11-12,29.0,Successful,Credit Card
PAY0000038,C00002,2025-12-06,29.0,Successful,Credit Card
PAY0000039,C00003,2024-12-19,79.0,Successful,Credit Card
PAY0000040,C00003,2025-01-23,79.0,Successful,Credit Card
PAY0000041,C00003,2025-02-11,-79.0,Refunded,Debit Card
PAY0000042,C00003,2025-03-24,79.0,Successful,Credit Card
PAY0000043,C00003,2025-04-08,79.0,Successful,Credit Card
PAY0000044,C00003,2025-05-22,79.0,Successful,Credit Card
PAY0000045,C00003,2025-06-24,79.0,Successful,Credit Card
PAY0000046,C00003,2025-07-05,79.0,Successful,Credit Card
PAY0000047,C00003,2025-08-11,79.0,Successful,Bank Transfer
PAY0000048,C00003,2025-09-07,149.0,Successful,Credit Card
PAY0000049,C00003,2025-10-19,0.0,Failed,PayPal
PAY0000050,C00003,2025-11-07,149.0,Successful,Credit Card
PAY0000051,C00003,2025-12-13,399.0,Successful,Credit Card
PAY0000052,C00004,2024-01-17,399.0,Successful,Credit Card
PAY0000053,C00004,2024-02-03,399.0,Successful,Credit Card
PAY0000054,C00004,2024-03-10,399.0,Successful,Credit Card
PAY0000055,C00004,2024-04-09,399.0,Successful,Credit Card
PAY0000056,C00004,2024-05-11,399.0,Successful,Bank Transfer
PAY0000057,C00004,2024-06-25,399.0,Successful,Bank Transfer
PAY0000058,C00004,2024-07-22,399.0,Successful,Credit Card
PAY0000059,C00004,2024-08-23,399.0,Successful,Credit Card
PAY0000060,C00004,2024-09-12,399.0,Successful,Credit Card
PAY0000061,C00004,2024-10-03,399.0,Successful,Credit Card
PAY0000062,C00004,2024-11-06,399.0,Successful,Bank Transfer
PAY0000063,C00004,2024-12-20,399.0,Successful,Credit Card
PAY0000064,C00004,2025-01-20,399.0,Successful,PayPal
PAY0000065,C00004,2025-02-06,399.0,Successful,Credit Card
PAY0000066,C00004,2025-03-20,399.0,Successful,Debit Card
PAY0000067,C00004,2025-04-08,0.0,Failed,Debit Card
PAY0000068,C00004,2025-05-24,399.0,Successful,Credit Card
PAY0000069,C00004,2025-06-07,399.0,Successful,PayPal
PAY0000070,C00004,2025-07-25,399.0,Successful,Credit Card
PAY0000071,C00004,2025-08-13,0.0,Failed,Credit Card
PAY0000072,C00004,2025-09-10,399.0,Successful,Credit Card
PAY0000073,C00004,2025-10-10,399.0,Successful,Debit Card
PAY0000074,C00004,2025-11-21,0.0,Failed,PayPal
PAY0000075,C00004,2025-12-04,399.0,Successful,Debit Card
PAY0000076,C00005,2025-07-03,79.0,Successful,Bank Transfer
PAY0000077,C00005,2025-08-21,79.0,Successful,Credit Card
PAY0000078,C00005,2025-09-15,79.0,Successful,Debit Card
PAY0000079,C00005,2025-10-17,79.0,Successful,PayPal
PAY0000080,C00005,2025-11-22,79.0,Successful,Debit Card
PAY0000081,C00005,2025-12-18,79.0,Successful,Credit Card
PAY0000082,C00006,2024-09-21,79.0,Successful,Debit Card
PAY0000083,C00006,2024-10-02,79.0,Successful,Bank Transfer
PAY0000084,C00006,2024-11-02,79.0,Successful,Credit Card
PAY0000085,C00006,2024-12-20,79.0,Successful,Bank Transfer
PAY0000086,C00006,2025-01-13,79.0,Successful,Debit Card
PAY0000087,C00006,2025-02-07,79.0,Successful,Bank Transfer
PAY0000088,C00006,2025-03-15,79.0,Successful,Credit Card
PAY0000089,C00006,2025-04-24,79.0,Successful,Credit Card
PAY0000090,C00006,2025-05-23,79.0,Successful,Credit Card
PAY0000091,C00006,2025-06-06,0.0,Failed,Credit Card
