subscription_id,customer_id,plan_id,start_date,end_date,billing_cycle,monthly_price,subscription_status
S000001,C00001,P02,2024-04-12,,Annual,79.0,Active
S000002,C00001,P03,2025-04-06,,Monthly,149.0,Active
S000003,C00002,P01,2024-08-02,,Monthly,29.0,Active
S000004,C00003,P02,2024-12-09,,Annual,79.0,Active
S000005,C00003,P03,2025-09-08,,Monthly,149.0,Active
S000006,C00003,P04,2025-12-28,,Monthly,399.0,Active
S000007,C00004,P04,2024-01-22,,Annual,399.0,Active
S000008,C00005,P02,2025-07-20,,Annual,79.0,Active
S000009,C00006,P02,2024-09-30,,Annual,79.0,Active
S000010,C00007,P02,2024-12-05,,Annual,79.0,Active
S000011,C00007,P01,2025-05-13,,Monthly,29.0,Active
S000012,C00008,P02,2025-07-15,2025-10-04,Monthly,79.0,Cancelled
S000013,C00009,P01,2025-07-09,,Monthly,29.0,Active
S000014,C00010,P02,2024-09-08,2025-08-03,Monthly,79.0,Cancelled
S000015,C00011,P01,2024-08-04,,Monthly,29.0,Active
S000016,C00012,P02,2025-06-04,2025-11-12,Monthly,79.0,Cancelled
S000017,C00013,P03,2025-11-05,,Monthly,149.0,Active
S000018,C00014,P04,2024-07-19,,Monthly,399.0,Active
S000019,C00015,P01,2024-04-08,2024-09-25,Monthly,29.0,Cancelled
S000020,C00016,P01,2024-01-05,2024-04-16,Annual,29.0,Cancelled
S000021,C00017,P03,2025-04-05,,Monthly,149.0,Active
S000022,C00017,P02,2025-12-27,,Monthly,79.0,Active
S000023,C00018,P02,2025-02-10,,Monthly,79.0,Active
S000024,C00019,P03,2024-03-26,,Monthly,149.0,Active
S000025,C00020,P01,2024-11-26,2025-10-23,Monthly,29.0,Cancelled
S000026,C00021,P02,2024-10-09,,Annual,79.0,Active
S000027,C00022,P01,2024-11-13,,Monthly,29.0,Active
S000028,C00022,P02,2025-02-26,,Annual,79.0,Active
S000029,C00023,P02,2024-08-20,,Monthly,79.0,Active
S000030,C00024,P01,2025-01-21,,Monthly,29.0,Active
S000031,C00024,P02,2025-07-12,,Annual,79.0,Active
S000032,C00025,P02,2024-08-12,2025-01-18,Monthly,79.0,Cancelled
S000033,C00026,P02,2025-03-14,,Monthly,79.0,Active
S000034,C00027,P01,2024-07-16,,Monthly,29.0,Active
S000035,C00028,P03,2025-04-08,,Monthly,149.0,Active
S000036,C00029,P03,2024-05-27,,Annual,149.0,Active
S000037,C00030,P02,2025-10-02,,Monthly,79.0,Active
S000038,C00031,P03,2024-09-19,,Monthly,149.0,Active
S000039,C00032,P03,2024-10-30,,Monthly,149.0,Active
S000040,C00033,P03,2025-10-20,2025-12-28,Monthly,149.0,Cancelled
S000041,C00034,P04,2025-08-09,,Monthly,399.0,Active
S000042,C00035,P02,2024-06-01,,Annual,79.0,Active
S000043,C00035,P03,2025-12-02,,Monthly,149.0,Active
S000044,C00036,P01,2024-06-09,,Annual,29.0,Active
S000045,C00036,P02,2024-10-13,,Annual,79.0,Active
S000046,C00037,P01,2024-07-13,,Monthly,29.0,Active
S000047,C00037,P02,2025-07-21,,Monthly,79.0,Active
S000048,C00038,P03,2025-10-31,,Monthly,149.0,Active
S000049,C00039,P01,2025-08-31,,Monthly,29.0,Active
S000050,C00040,P04,2025-06-30,,Monthly,399.0,Active
S000051,C00041,P01,2024-04-08,,Monthly,29.0,Active
S000052,C00042,P03,2024-04-25,,Monthly,149.0,Active
S000053,C00042,P04,2025-10-07,,Annual,399.0,Active
S000054,C00043,P03,2025-07-19,,Monthly,149.0,Active
S000055,C00044,P02,2025-09-30,,Monthly,79.0,Active
S000056,C00045,P03,2024-06-24,,Monthly,149.0,Active
S000057,C00046,P03,2024-02-05,,Annual,149.0,Active
S000058,C00046,P04,2024-11-02,,Monthly,399.0,Active
S000059,C00047,P01,2025-04-15,,Monthly,29.0,Active
S000060,C00047,P01,2025-07-30,,Monthly,29.0,Active
S000061,C00048,P03,2025-11-28,,Monthly,149.0,Active
S000062,C00049,P02,2024-02-23,,Monthly,79.0,Active
S000063,C00049,P03,2025-02-22,,Monthly,149.0,Active
S000064,C00049,P04,2025-08-14,,Annual,399.0,Active
S000065,C00050,P01,2024-04-12,,Annual,29.0,Active
S000066,C00051,P01,2025-10-17,,Monthly,29.0,Active
S000067,C00052,P02,2024-12-11,,Monthly,79.0,Active
S000068,C00053,P02,2024-02-27,,Monthly,79.0,Active
S000069,C00053,P03,2024-06-21,,Monthly,149.0,Active
S000070,C00053,P02,2025-04-03,,Monthly,79.0,Active
S000071,C00054,P02,2024-08-24,,Monthly,79.0,Active
S000072,C00055,P02,2024-03-16,,Monthly,79.0,Active
S000073,C00056,P03,2024-02-16,,Annual,149.0,Active
S000074,C00057,P01,2025-03-07,2025-08-14,Monthly,29.0,Cancelled
S000075,C00058,P03,2024-04-09,2024-07-02,Monthly,149.0,Cancelled
S000076,C00059,P02,2024-11-20,,Monthly,79.0,Active
S000077,C00060,P01,2025-10-25,,Monthly,29.0,Active
S000078,C00061,P02,2024-09-24,2025-02-17,Annual,79.0,Cancelled
S000079,C00062,P01,2024-09-09,,Annual,29.0,Active
S000080,C00063,P02,2025-08-24,,Monthly,79.0,Active
S000081,C00064,P02,2025-02-23,,Annual,79.0,Active
S000082,C00065,P03,2025-11-19,,Annual,149.0,Active
S000083,C00066,P02,2025-01-03,,Annual,79.0,Active
S000084,C00067,P02,2024-12-07,2025-08-29,Monthly,79.0,Cancelled
S000085,C00068,P02,2025-03-30,,Monthly,79.0,Active
S000086,C00069,P01,2024-04-08,,Monthly,29.0,Active
S000087,C00069,P02,2025-03-16,,Monthly,79.0,Active
S000088,C00070,P04,2024-04-18,,Monthly,399.0,Active
S000089,C00071,P02,2024-08-22,,Monthly,79.0,Active
S000090,C00072,P02,2025-06-02,,Monthly,79.0,Active
S000091,C00073,P01,2024-01-29,,Monthly,29.0,Active
S000092,C00074,P04,2025-05-25,,Monthly,399.0,Active
S000093,C00075,P02,2024-06-15,2024-11-23,Annual,79.0,Cancelled
S000094,C00076,P02,2025-10-21,,Monthly,79.0,Active
S000095,C00077,P01,2024-07-09,2024-10-21,Monthly,29.0,Cancelled
S000096,C00078,P02,2024-03-20,,Annual,79.0,Active
S000097,C00078,P03,2024-11-20,,Annual,149.0,Active
S000098,C00079,P01,2025-02-05,2025-06-29,Annual,29.0,Cancelled
S000099,C00080,P02,2024-09-15,,Monthly,79.0,Active
S000100,C00080,P01,2025-02-18,,Monthly,29.0,Active
S000101,C00081,P02,2025-02-11,,Annual,79.0,Active
S000102,C00082,P03,2025-06-23,,Annual,149.0,Active
S000103,C00083,P04,2025-04-05,,Monthly,399.0,Active
S000104,C00083,P04,2025-11-11,,Monthly,399.0,Active
S000105,C00084,P01,2024-09-12,,Annual,29.0,Active
S000106,C00085,P03,2024-04-28,,Monthly,149.0,Active
S000107,C00086,P03,2024-10-08,,Monthly,149.0,Active
S000108,C00087,P03,2024-04-08,,Annual,149.0,Active
S000109,C00088,P02,2025-03-12,,Annual,79.0,Active
S000110,C00089,P01,2024-01-01,,Monthly,29.0,Active
S000111,C00089,P01,2025-02-04,,Monthly,29.0,Active
S000112,C00090,P04,2025-07-04,,Monthly,399.0,Active
S000113,C00091,P01,2024-02-23,,Monthly,29.0,Active
S000114,C00092,P01,2025-07-31,2025-11-29,Monthly,29.0,Cancelled
S000115,C00093,P01,2024-11-30,,Monthly,29.0,Active
S000116,C00094,P01,2024-04-15,2024-07-30,Monthly,29.0,Cancelled
S000117,C00095,P02,2025-05-22,,Annual,79.0,Active
S000118,C00095,P03,2025-11-26,,Monthly,149.0,Active
S000119,C00096,P02,2024-04-20,,Annual,79.0,Active
S000120,C00097,P02,2024-12-25,,Monthly,79.0,Active
S000121,C00098,P02,2024-02-20,,Annual,79.0,Active
S000122,C00099,P02,2025-05-27,,Monthly,79.0,Active
S000123,C00099,P03,2025-09-03,,Annual,149.0,Active
S000124,C00100,P02,2024-09-05,,Monthly,79.0,Active
S000125,C00100,P03,2025-11-02,,Monthly,149.0,Active
S000126,C00100,P04,2025-12-31,,Monthly,399.0,Active
S000127,C00101,P03,2024-09-13,,Annual,149.0,Active
S000128,C00102,P04,2025-06-09,,Annual,399.0,Active
S000129,C00103,P01,2024-01-07,,Monthly,29.0,Active
S000130,C00103,P01,2025-08-29,,Monthly,29.0,Active
S000131,C00103,P02,2025-12-09,,Monthly,79.0,Active
S000132,C00104,P01,2024-01-15,2025-02-01,Annual,29.0,Cancelled
S000133,C00105,P03,2024-03-26,,Annual,149.0,Active
S000134,C00106,P03,2024-03-07,,Monthly,149.0,Active
S000135,C00107,P01,2025-01-03,,Monthly,29.0,Active
S000136,C00107,P02,2025-04-29,,Monthly,79.0,Active
S000137,C00108,P03,2024-11-10,,Annual,149.0,Active
S000138,C00109,P02,2025-05-17,,Annual,79.0,Active
S000139,C00109,P03,2025-08-28,,Monthly,149.0,Active
S000140,C00110,P02,2024-05-16,,Monthly,79.0,Active
S000141,C00111,P04,2025-04-12,,Monthly,399.0,Active
S000142,C00111,P04,2025-12-17,,Annual,399.0,Active
S000143,C00112,P02,2025-07-27,,Monthly,79.0,Active
S000144,C00113,P02,2024-11-21,,Monthly,79.0,Active
S000145,C00113,P03,2025-10-30,,Monthly,149.0,Active
S000146,C00114,P01,2024-03-30,,Annual,29.0,Active
S000147,C00115,P02,2025-11-03,,Annual,79.0,Active
S000148,C00116,P01,2025-10-03,,Monthly,29.0,Active
S000149,C00117,P02,2025-02-22,,Annual,79.0,Active
S000150,C00118,P04,2025-04-03,,Monthly,399.0,Active
S000151,C00119,P01,2024-08-16,,Monthly,29.0,Active
S000152,C00120,P03,2025-07-27,,Monthly,149.0,Active
S000153,C00121,P01,2025-06-09,,Annual,29.0,Active
S000154,C00122,P01,2024-05-24,,Monthly,29.0,Active
S000155,C00123,P01,2024-07-16,2025-07-04,Annual,29.0,Cancelled
S000156,C00124,P01,2025-04-22,,Monthly,29.0,Active
S000157,C00125,P03,2024-10-15,,Monthly,149.0,Active
S000158,C00126,P02,2024-06-07,2025-10-27,Annual,79.0,Cancelled
S000159,C00127,P04,2024-06-05,,Annual,399.0,Active
S000160,C00128,P03,2024-10-18,,Monthly,149.0,Active
S000161,C00129,P02,2024-05-13,,Monthly,79.0,Active
S000162,C00129,P03,2025-06-15,,Monthly,149.0,Active
S000163,C00130,P03,2025-09-14,,Monthly,149.0,Active
S000164,C00131,P01,2024-05-06,,Monthly,29.0,Active
S000165,C00132,P03,2025-02-10,2025-08-13,Monthly,149.0,Cancelled
S000166,C00133,P02,2024-01-01,,Monthly,79.0,Active
S000167,C00134,P01,2024-05-16,,Monthly,29.0,Active
S000168,C00135,P02,2025-08-24,,Annual,79.0,Active
S000169,C00136,P03,2024-06-30,,Monthly,149.0,Active
S000170,C00137,P01,2025-10-27,,Monthly,29.0,Active
S000171,C00138,P03,2025-09-21,,Monthly,149.0,Active
S000172,C00139,P03,2024-11-13,,Monthly,149.0,Active
S000173,C00140,P03,2024-01-18,,Annual,149.0,Active
S000174,C00141,P02,2024-08-09,,Annual,79.0,Active
S000175,C00142,P02,2025-04-02,,Monthly,79.0,Active
S000176,C00143,P01,2024-12-14,,Monthly,29.0,Active
S000177,C00143,P01,2025-06-29,,Annual,29.0,Active
S000178,C00144,P01,2024-08-26,,Monthly,29.0,Active
S000179,C00144,P02,2025-02-02,,Monthly,79.0,Active
S000180,C00145,P04,2024-03-18,,Monthly,399.0,Active
S000181,C00146,P02,2024-01-07,,Monthly,79.0,Active
S000182,C00146,P03,2025-11-13,,Monthly,149.0,Active
S000183,C00147,P03,2024-10-11,,Monthly,149.0,Active
S000184,C00148,P03,2025-04-15,2025-08-08,Monthly,149.0,Cancelled
S000185,C00148,P02,2025-08-08,2025-12-04,Annual,79.0,Cancelled
S000186,C00149,P01,2024-02-22,2024-05-09,Monthly,29.0,Cancelled
S000187,C00150,P03,2024-02-28,,Monthly,149.0,Active
S000188,C00151,P02,2024-08-24,,Monthly,79.0,Active
S000189,C00151,P03,2025-05-29,,Monthly,149.0,Active
S000190,C00152,P02,2024-01-29,,Monthly,79.0,Active
S000191,C00152,P03,2025-12-25,,Monthly,149.0,Active
S000192,C00152,P02,2025-12-31,,Monthly,79.0,Active
S000193,C00153,P03,2024-12-21,,Monthly,149.0,Active
S000194,C00154,P03,2025-09-20,,Monthly,149.0,Active
S000195,C00155,P02,2024-09-24,,Monthly,79.0,Active
S000196,C00156,P04,2025-07-11,,Annual,399.0,Active
S000197,C00157,P02,2024-01-29,,Annual,79.0,Active
S000198,C00158,P04,2024-08-14,,Monthly,399.0,Active
S000199,C00159,P03,2025-07-01,,Monthly,149.0,Active
S000200,C00159,P04,2025-11-25,,Annual,399.0,Active
S000201,C00160,P01,2024-07-19,,Monthly,29.0,Active
S000202,C00161,P01,2024-02-11,,Monthly,29.0,Active
S000203,C00162,P03,2025-06-07,,Monthly,149.0,Active
S000204,C00163,P03,2025-05-11,,Annual,149.0,Active
S000205,C00164,P02,2025-04-29,2025-08-25,Annual,79.0,Cancelled
S000206,C00165,P01,2025-05-03,,Monthly,29.0,Active
S000207,C00166,P01,2024-03-26,2025-05-16,Monthly,29.0,Cancelled
S000208,C00167,P04,2025-04-21,,Monthly,399.0,Active
S000209,C00168,P03,2024-09-29,,Monthly,149.0,Active
S000210,C00169,P03,2024-06-19,,Annual,149.0,Active
S000211,C00170,P01,2024-12-14,,Annual,29.0,Active
S000212,C00171,P03,2024-11-06,,Monthly,149.0,Active
S000213,C00172,P02,2024-02-08,,Monthly,79.0,Active
S000214,C00173,P02,2024-09-28,,Monthly,79.0,Active
S000215,C00173,P01,2025-01-13,,Annual,29.0,Active
S000216,C00174,P03,2025-01-23,,Monthly,149.0,Active
S000217,C00174,P02,2025-05-26,,Annual,79.0,Active
S000218,C00175,P01,2024-05-25,,Monthly,29.0,Active
S000219,C00176,P02,2024-12-09,,Monthly,79.0,Active
S000220,C00177,P03,2025-03-15,,Monthly,149.0,Active
S000221,C00178,P04,2025-07-24,,Monthly,399.0,Active
S000222,C00179,P04,2024-08-05,,Annual,399.0,Active
S000223,C00180,P02,2025-11-19,,Annual,79.0,Active
S000224,C00181,P01,2024-03-02,,Monthly,29.0,Active
S000225,C00182,P03,2025-08-02,2025-11-12,Monthly,149.0,Cancelled
S000226,C00183,P03,2024-07-13,,Monthly,149.0,Active
S000227,C00183,P04,2025-07-16,,Monthly,399.0,Active
S000228,C00184,P01,2024-05-03,,Monthly,29.0,Active
S000229,C00185,P04,2024-11-11,,Monthly,399.0,Active
S000230,C00186,P02,2024-11-18,,Annual,79.0,Active
S000231,C00186,P03,2025-06-14,,Monthly,149.0,Active
S000232,C00187,P02,2024-05-26,,Annual,79.0,Active
S000233,C00188,P03,2025-11-23,,Monthly,149.0,Active
S000234,C00189,P01,2024-01-31,,Monthly,29.0,Active
S000235,C00190,P03,2024-09-14,,Annual,149.0,Active
S000236,C00191,P02,2024-08-20,2025-03-26,Monthly,79.0,Cancelled
S000237,C00192,P04,2025-04-11,,Monthly,399.0,Active
S000238,C00193,P01,2024-10-04,,Annual,29.0,Active
S000239,C00194,P01,2025-02-04,,Monthly,29.0,Active
S000240,C00195,P02,2024-08-14,,Monthly,79.0,Active
S000241,C00195,P01,2025-02-20,,Monthly,29.0,Active
S000242,C00196,P04,2025-06-21,,Monthly,399.0,Active
S000243,C00197,P04,2024-09-27,,Monthly,399.0,Active
S000244,C00197,P03,2025-08-17,,Monthly,149.0,Active
S000245,C00198,P02,2025-04-03,2025-06-26,Monthly,79.0,Cancelled
S000246,C00199,P03,2024-03-24,,Monthly,149.0,Active
S000247,C00200,P02,2025-06-10,,Monthly,79.0,Active
S000248,C00201,P01,2024-02-29,,Annual,29.0,Active
S000249,C00202,P04,2024-07-17,2024-09-18,Monthly,399.0,Cancelled
S000250,C00203,P01,2025-07-11,2025-12-13,Monthly,29.0,Cancelled
S000251,C00204,P01,2025-06-04,2025-10-03,Monthly,29.0,Cancelled
S000252,C00205,P01,2024-12-09,2025-07-11,Annual,29.0,Cancelled
S000253,C00206,P03,2025-06-27,,Monthly,149.0,Active
S000254,C00207,P03,2025-11-21,,Annual,149.0,Active
S000255,C00208,P01,2024-04-01,,Annual,29.0,Active
S000256,C00208,P01,2025-01-13,,Monthly,29.0,Active
S000257,C00208,P01,2025-06-03,,Monthly,29.0,Active
S000258,C00209,P02,2025-08-11,,Monthly,79.0,Active
S000259,C00210,P01,2024-05-22,,Monthly,29.0,Active
S000260,C00211,P02,2024-01-09,,Monthly,79.0,Active
S000261,C00211,P03,2024-12-27,,Monthly,149.0,Active
S000262,C00212,P01,2025-11-20,,Monthly,29.0,Active
S000263,C00213,P03,2024-07-26,2024-12-26,Monthly,149.0,Cancelled
S000264,C00214,P02,2024-01-14,,Monthly,79.0,Active
S000265,C00215,P02,2024-05-26,2025-02-16,Monthly,79.0,Cancelled
S000266,C00215,P03,2025-02-16,2025-07-04,Monthly,149.0,Cancelled
S000267,C00215,P02,2025-07-04,2025-11-28,Monthly,79.0,Cancelled
S000268,C00216,P03,2025-08-16,,Monthly,149.0,Active
S000269,C00217,P03,2024-02-04,2025-05-21,Monthly,149.0,Cancelled
S000270,C00218,P01,2024-06-07,,Monthly,29.0,Active
S000271,C00219,P01,2025-07-15,,Monthly,29.0,Active
S000272,C00220,P01,2024-11-30,,Monthly,29.0,Active
S000273,C00220,P02,2025-12-19,,Annual,79.0,Active
S000274,C00221,P04,2024-08-24,,Monthly,399.0,Active
S000275,C00222,P03,2024-10-24,,Monthly,149.0,Active
S000276,C00223,P01,2025-01-15,,Monthly,29.0,Active
S000277,C00223,P02,2025-11-15,,Monthly,79.0,Active
S000278,C00224,P02,2024-01-28,,Monthly,79.0,Active
S000279,C00225,P04,2024-10-27,,Annual,399.0,Active
S000280,C00226,P02,2024-12-26,,Monthly,79.0,Active
S000281,C00227,P02,2024-10-10,,Monthly,79.0,Active
